NORAD_CAT_ID_1,OBJECT_NAME_1,DSE_1,NORAD_CAT_ID_2,OBJECT_NAME_2,DSE_2,TCA,TCA_RANGE,TCA_RELATIVE_SPEED,MAX_PROB,DILUTION
48474,"STARLINK-2697 [+]",1.931,30024,"FENGYUN 1C DEB [-]",1.993,"2023-11-10 12:47:39.355",0.255,14.49,0.0002647,0.139
49202,"ONEWEB-0336 [+]",1.964,38662,"CZ-4C DEB [-]",3.015,"2023-11-10 12:48:54.452",0.102,10.083,0.001034,0.032
44857,"RISAT-2BR1 [+]",1.74,56027,"STARLINK-5777 [+]",1.735,"2023-11-10 12:57:23.342",0.189,1.063,0.001102,0.045
33409,"SHIJIAN-6 03B (SJ-6 03B) [+]",1.748,55657,"STARLINK-5328 [+]",1.69,"2023-11-10 13:02:46.580",0.457,14.785,0.00007447,0.275
56154,"OBJECT B [+]",1.821,56156,"OBJECT D [+]",1.821,"2023-11-10 13:34:35.483",0.374,0,0.0001785,0.037
29228,"RESURS-DK 1 [+]",2.258,46702,"STARLINK-1802 [+]",2.025,"2023-11-10 13:44:19.925",0.432,13.319,0.0001193,0.181
56154,"OBJECT B [+]",1.853,56156,"OBJECT D [+]",1.853,"2023-11-10 14:20:29.427",0.392,0,0.0001785,0.037
43819,"EXCITE [+]",1.89,55657,"STARLINK-5328 [+]",1.751,"2023-11-10 14:29:20.840",0.258,14.059,0.0002898,0.125
51757,"STARLINK-3459 [+]",1.795,57326,"OBJECT BA [-]",1.822,"2023-11-10 14:36:51.634",0.44,14.544,0.00008849,0.24
51873,"STARLINK-3582 [+]",2.519,40698,"AVUM R/B [-]",2.353,"2023-11-10 14:43:42.173",0.217,14.719,0.0003431,0.126
56154,"OBJECT B [+]",1.888,56156,"OBJECT D [+]",1.888,"2023-11-10 15:11:55.934",0.37,0,0.0001785,0.037
43184,"LEMUR-2-KADI [+]",2.397,49438,"STARLINK-3044 [+]",2.077,"2023-11-10 15:36:05.383",0.406,14.269,0.000112,0.206
44389,"ICEYE-X5 [+]",1.819,54824,"STARLINK-4643 [+]",2.138,"2023-11-10 15:37:56.907",0.458,13.504,0.000103,0.199
56154,"OBJECT B [+]",1.917,56156,"OBJECT D [+]",1.917,"2023-11-10 15:53:21.054",0.387,0,0.0001785,0.037
