OBJECT_NAME_1,OBJECT_NAME_2,MAX_PROB,OperationalStatus_1,OperationalStatus_2
"DRUMS [+]","STARLINK-4547 [+]",0.00007415,+],+]
"S-NET A [+]","STARLINK-5618 [+]",0.00007395,+],+]
"BRIO [+]","STARLINK-1977 [+]",0.00007393,+],+]
"JILIN-1 10 [+]","STARLINK-2525 [+]",0.00007334,+],+]
"LEMUR-2-ANDIS [+]","STARLINK-5497 [+]",0.00007306,+],+]
"NETSAT-2 [+]","STARLINK-3798 [+]",0.00007267,+],+]
"LEMUR-2-ZO [+]","STARLINK-1659 [+]",0.00007112,+],+]
"SPAWAR-CAL-OR [+]","STARLINK-6091 [+]",0.00007099,+],+]
"HORYU-4 [+]","STARLINK-3198 [+]",0.00007042,+],+]
"STARLINK-4518 [+]","TROPICS-05 [+]",0.0000704,+],+]
"PROMETHEUS 2-3 [+]","STARLINK-2169 [+]",0.00006988,+],+]
"STARLINK-4140 [+]","NANOZOND 1 (RS49S) [+]",0.000069,+],+]
"STARLINK-5672 [+]","SITRO-AIS 5 (KATYS) [+]",0.00006889,+],+]
"STARLINK-4488 [+]","OBJECT AG [+]",0.00006881,+],+]
"STARLINK-1524 [+]","CUPID [+]",0.00006866,+],+]
"STARLINK-1676 [+]","KSM1-A [+]",0.00006786,+],+]
"FOX-1CLIFF (AO-95) [+]","STARLINK-6104 [+]",0.00006785,+],+]
"STARLINK-1043 [+]","R2 [+]",0.00006749,+],+]
"LEMUR-2-REMY-COLTON [+]","STARLINK-3982 [+]",0.00006715,+],+]
"PROBA-1 [+]","STARLINK-2649 [+]",0.00006692,+],+]
"STARLINK-4686 [+]","OBJECT AF [+]",0.00006692,+],+]
"STARLINK-1528 [+]","SITRO-AIS 9 (SHCHUKIN) [+]",0.00006622,+],+]
"STARLINK-4695 [+]","OBJECT H [+]",0.00006608,+],+]
"POLYITAN-1 [+]","STARLINK-5459 [+]",0.00006544,+],+]
"LEMUR-2-THENICKMOLO [+]","STARLINK-4778 [+]",0.00006512,+],+]
"NETSAT-1 [+]","STARLINK-1888 [+]",0.00006508,+],+]
"STARLINK-3610 [+]","OBJECT C [+]",0.00006486,+],+]
"STARLINK-2618 [+]","UTMN 2 (RS27S) [+]",0.00006479,+],+]
"STARLINK-1780 [+]","OBJECT J [+]",0.00006458,+],+]
"ICEYE-X5 [+]","STARLINK-5936 [+]",0.00006426,+],+]
