OBJECT_NAME_1,OBJECT_NAME_2,TCA
"STARLINK-3110 [+]","PSLV DEB [-]","2023-11-09 04:01:40.912"
"STARLINK-4009 [+]","CZ-4B DEB [-]","2023-11-09 04:02:01.552"
"STARLINK-4777 [+]","SL-3 R/B [-]","2023-11-09 04:03:55.835"
"STARLINK-5424 [+]","OBJECT AJ [+]","2023-11-09 04:04:06.185"
"STARLINK-5158 [+]","COSMOS 886 DEB [-]","2023-11-09 04:05:10.676"
"STARLINK-4471 [+]","OBJECT H [+]","2023-11-09 04:06:00.607"
"STARLINK-4065 [+]","OBJECT AJ [+]","2023-11-09 04:07:31.209"
"STARLINK-5447 [+]","OBJECT M [+]","2023-11-09 04:07:35.687"
"STARLINK-4370 [+]","TITAN 3C TRANSTAGE DEB [-]","2023-11-09 04:08:28.917"
"STARLINK-4390 [+]","VESTA-1 [-]","2023-11-09 04:08:59.565"
"STARLINK-2410 [+]","OBJECT F [+]","2023-11-09 04:09:43.645"
"STARLINK-3128 [+]","SITRO-AIS 12 (SMIRENNIY) [+]","2023-11-09 04:09:53.086"
"STARLINK-3184 [+]","KUZGTU 1 (RS47S) [+]","2023-11-09 04:10:32.182"
"STARLINK-5440 [+]","COSMOS 1933 [?]","2023-11-09 04:11:55.458"
"STARLINK-3350 [+]","RESURS O1 DEB [-]","2023-11-09 04:12:36.015"
"STARLINK-5587 [+]","CZ-4B DEB [-]","2023-11-09 04:13:41.265"
"STARLINK-5456 [+]","FENGYUN 1C DEB [-]","2023-11-09 04:13:56.959"
"STARLINK-3798 [+]","RESURS O1 DEB [-]","2023-11-09 04:14:02.281"
"STARLINK-2703 [+]","FENGYUN 1C DEB [-]","2023-11-09 04:14:19.548"
"STARLINK-1401 [P]","COSMOS 2251 DEB [-]","2023-11-09 04:15:11.267"
"STARLINK-3078 [+]","OBJECT M [-]","2023-11-09 04:16:16.983"
"STARLINK-30089 [P]","NANOZOND 1 (RS49S) [+]","2023-11-09 04:16:18.296"
"STARLINK-1742 [+]","DRUMS [+]","2023-11-09 04:16:34.279"
"STARLINK-4607 [+]","MONITOR-4 (RS57S) [+]","2023-11-09 04:17:17.944"
"STARLINK-3982 [+]","FENGYUN 1C DEB [-]","2023-11-09 04:19:43.427"
"STARLINK-3559 [+]","OBJECT E [+]","2023-11-09 04:20:28.110"
"STARLINK-3680 [+]","OBJECT AP [+]","2023-11-09 04:23:55.333"
"STARLINK-5233 [+]","COSMOS 249 DEB [-]","2023-11-09 04:26:28.861"
"STARLINK-3176 [+]","OBJECT BB [-]","2023-11-09 04:26:33.055"
"STARLINK-4708 [+]","SITRO-AIS 6 (CHIRKIN) [+]","2023-11-09 04:26:41.444"
"STARLINK-2568 [+]","DMSP 5D-2 F13 DEB [-]","2023-11-09 04:28:36.492"
"STARLINK-4715 [+]","FENGYUN 1C DEB [-]","2023-11-09 04:29:30.807"
"STARLINK-3399 [+]","COSMOS 1869 [?]","2023-11-09 04:30:18.440"
"STARLINK-3096 [+]","COSMOS 397 DEB [-]","2023-11-09 04:32:45.583"
"STARLINK-1549 [+]","FLOCK 1C-9 [-]","2023-11-09 04:33:39.375"
"STARLINK-3996 [+]","FENGYUN 1C DEB [-]","2023-11-09 04:33:47.223"
"STARLINK-5532 [+]","AVUM R/B [-]","2023-11-09 04:34:12.078"
"STARLINK-4722 [+]","UTMN 2 (RS27S) [+]","2023-11-09 04:35:10.083"
"STARLINK-4796 [+]","CHUBUSAT-2 [-]","2023-11-09 04:35:10.576"
"STARLINK-4406 [+]","TITAN 4B DEB [-]","2023-11-09 04:37:22.802"
"STARLINK-3740 [+]","USA 40 R/B DEB [-]","2023-11-09 04:38:01.973"
"STARLINK-2119 [+]","FENGYUN 1C DEB [-]","2023-11-09 04:39:21.533"
"STARLINK-5508 [+]","SL-16 DEB [-]","2023-11-09 04:40:48.156"
